What's your favorite candy?,What's your favorite restaurant on the ave?,Cats or Dogs?,Are you currently enrolled in CSE 351?
twix,Sizzle & Crunch,Cats,No
Reese's Pieces,Mod,Dogs,Yes
Snickers,Orange King,Cats,No
Gummy bear,Taste of Xian,Dogs,No
starwberry candy,basil,Neither,Yes
Kitkat,Sizzle n Crunch,Dogs,Yes
Sour patch kids,Aladdin Gyro-Cery,Dogs,Yes
european gummy berries,Bugis & The Block,Dogs,Yes
Andes,Burger Hut,Dogs,No
Kit Kat,Korean Tofu House,Cats,Yes
Hot Tamales,Burger Hut,Neither,No
dark chocolate or sour patch watermelon,Burger Hut,Dogs,No
Trader Joe's sour scandinavian swimmers,Pho Shizzle,Cats,No
Chocolate,Sizzles and Crunch,Neither,Yes
Reese's Peanut Butter Cups,Thaiger Room,Dogs,Yes
Theo Chocolate peanut butter cups,Chipotle,Neither,Yes
Mints,Thai Tom,Dogs,Yes
starburst,chipotle,Dogs,Yes
daim from sweden,china first,Dogs,Yes
Butterfinger,Cafe on the Ave,Dogs,No
gummy bear,tofu house,Dogs,Yes
milk chocolate,cafe on the ave,Dogs,Yes
anything chocolate or swedish fish,aladdins or amazing thai,Dogs,Yes
Snickers,Noodle Nation,Cats,Yes
Almond Joy,Cafe on the Ave,Cats,Yes
gushers,Qdoba,Dogs,Yes
Twix,Just Burgers,Dogs,Yes
Nerds Rope,Xi'an Noodles,Cats,Yes
kiss,just burgers,Dogs,Yes
gummy bears,Thaiger Room,Dogs,Yes
Not a fan of sweets,Korean tofu house,Cats,Yes
KitKat,Red Pepper,Dogs,Yes
Sour Patch Kids,Morsel <3,Dogs,No
Sour Patch Kids,Aladdins,Dogs,No
Kit Kat,Thaiger Room,Dogs,Yes
twix,u-don,Dogs,No
Warheads,University Teriyaki and Bakery,Dogs,Yes
Sour Patch Kids,Chi Mac,Dogs,Yes
any chocolate,orange king,Neither,Yes
Ghirardelli milk chocolate caramel squares,Byrek and Baguette,Dogs,Yes
Chocolate; with or without peanuts,Tasty Pot,Cats,Yes
sour patch,xian noodles,Neither,Yes
sour skittles,sizzle and crunch,Dogs,Yes
Twix,Sizzle and Crunch,Neither,Yes
?,China First,Cats,No
Reeses,Sizzle & Crunch,Dogs,No
chocolate,cafe solstice,Dogs,Yes
None,Aladdins,Neither,Yes
Chocolate>Candy,Burger Hut,Dogs,No
nah,cafe on the ave,Cats,Yes
Kit-Kat,Aladdin Gyro-Cery,Dogs,Yes
Andes,Thaiger Room,Dogs,Yes
Warheads,Bugis,Dogs,Yes
Sour Patch,Cafe on the Ave,Dogs,Yes
Gummy Bears,Thai Tom,Dogs,No
Fruit bits,Subway,Dogs,Yes
Swedish Fish,Pho Than Brothers,Cats,No
Kit-Kat,No idea,Cats,Yes
Lindt,Thaiger Room,Dogs,Yes
Kitkats,N/A,Neither,No
Kitkats!,Chi mac or tofu house!,Neither,No
ferrero rocher,Little Thai,Neither,Yes
Twix,Cafe on the ave,Dogs,Yes
Chocolate Wafers,I've only been to the Big Time Brewery with a club and it was pretty good. I'm a commuter so not much time to be on the ave.,Cats,Yes
Reeses,Don't know I don't go there often.,Dogs,Yes
Hard Candy,Tasty Pot,Dogs,Yes
Kinder Bueno,UDON,Dogs,Yes
Skittle,Red Pepper,Neither,Yes
m&m,noodle nation,Dogs,Yes
Gummy Bears,Korean Tofu House,Dogs,Yes
Dark Chocolate,Not sure,Dogs,Yes
Twix,Korean Tofu House,Dogs,No
Skittles,U:Don,Cats,Yes
Twix,Aladins,Dogs,Yes
Haribo Berry flavor,Kong Tofu Soup,Dogs,No
Peppermint bark,Not quite a restaurant; but TeaRepublik is my favorite place to go on the Ave.,Dogs,Yes
Cotton Candy,Taste of Xi' an,Cats,Yes
Sour patch,Thaiger room,Cats,Yes
Snickers,Chillies indian,Dogs,Yes
Chocolate!,Little Tai,Dogs,Yes
Sugar is bad for you,Pho Shizzle,Neither,Yes
kitkats,memos,Cats,No
